MM/DD/YYYY-HH:MM:SS, TREATMENT, AVERAGE_TEMPERATURE, AVERAGE_HUMIDITY
01/13/2026-17:50:12,3,29.4,75.0
01/13/2026-17:51:18,3,29.4,74.4
01/13/2026-17:52:18,3,29.3,76.8
01/13/2026-17:53:10,3,29.3,76.2
01/13/2026-17:54:03,3,29.1,75.8
01/13/2026-17:55:03,3,29.1,75.9
01/13/2026-17:55:56,3,28.8,79.1
01/13/2026-17:56:50,3,29.0,77.4
01/13/2026-17:57:50,3,29.0,77.3
01/13/2026-17:58:59,3,29.2,76.6
01/13/2026-18:00:41,3,29.2,75.9
01/13/2026-18:01:28,3,29.0,77.2
01/13/2026-18:02:28,3,29.0,77.0
01/13/2026-18:03:34,3,29.0,77.1
01/13/2026-18:04:37,3,29.0,76.6
01/13/2026-18:05:28,3,29.0,77.7
01/13/2026-18:06:30,3,29.0,77.3
01/13/2026-18:07:57,3,29.0,77.0
01/13/2026-18:08:50,3,28.9,77.2
01/13/2026-18:10:23,3,28.9,77.1
01/13/2026-18:11:25,3,28.8,78.1
01/13/2026-18:12:40,3,28.7,78.2
01/13/2026-18:13:33,3,28.8,78.3
01/13/2026-18:14:53,3,28.8,78.1
01/13/2026-18:15:46,3,28.9,77.6
01/13/2026-18:16:42,3,28.9,76.9
01/13/2026-18:18:03,3,28.9,77.6
01/13/2026-18:18:56,3,28.8,78.6
01/13/2026-18:19:52,3,28.8,78.1
01/13/2026-18:21:14,3,28.9,77.6
01/13/2026-18:22:32,3,28.8,77.9
01/13/2026-18:23:19,3,28.6,82.0
01/13/2026-18:24:19,3,28.6,82.0
01/13/2026-18:25:26,3,28.6,82.0
01/13/2026-18:26:28,3,28.6,82.0
01/13/2026-18:27:19,3,28.6,82.0
01/13/2026-18:28:21,3,28.6,82.0
01/13/2026-18:29:26,3,28.6,82.0
01/13/2026-18:30:26,3,28.6,82.0
01/13/2026-18:31:26,3,28.6,82.0
01/13/2026-18:31:35,3,28.6,82.0
01/13/2026-18:33:33,3,-999.0,-1.0
01/13/2026-18:34:20,3,29.5,75.8
01/13/2026-18:35:20,3,29.7,76.7
01/13/2026-18:36:26,3,29.4,75.6
01/13/2026-18:37:29,3,28.9,77.0
01/13/2026-18:40:42,3,28.0,81.9
01/13/2026-18:41:29,3,27.8,82.8
01/13/2026-18:42:29,3,27.8,82.8
